,combat_id,monster_name,count,killed,combat_size,fraction,cr,xp,combat_total_xp,combat_min_xp,combat_max_xp,combat_avg_xp,is_lowest_xp,avg_frac,avg_count
2,1667750964-29e560b7-74c0-40ae-9e74-4854e4c8aaaa,owlbear,1,1,2,0.5,3.0,700,900,200,700,450.0,0,0.5502189952413699,2.1132075471698113
4,1667750964-29e560b7-74c0-40ae-9e74-4854e4c8aaaa,deinonychus,1,4,2,0.5,1.0,200,900,200,700,450.0,1,0.5853994490358126,1.5454545454545454
7,1656137034-62c4f0b3-8c48-4cff-8a71-2e6a91e9c534,mage,2,2,2,1.0,6.0,2300,2300,2300,2300,2300.0,1,0.9499754123417226,1.0802620802620804
8,1667835618-b3c13999-d6dc-495e-9a3f-70bb69050604,abyssal wretch,1,1,1,1.0,0.25,50,50,50,50,50.0,1,0.44307126696832577,1.75
11,1665594719-8e9f78ec-85c9-473e-84ec-59a7a825d273,occult initiate,3,1,5,0.6,2.0,450,1150,450,700,575.0,1,0.43333333333333335,2.3333333333333335
12,1665594719-8e9f78ec-85c9-473e-84ec-59a7a825d273,knight,2,1,5,0.4,3.0,700,1150,450,700,575.0,0,0.604887136672851,2.757142857142857
15,1663155754-779b64c8-406d-4ef5-b900-38713147c4af,archmage,3,3,12,0.25,12.0,8400,22800,100,10000,3800.0,0,0.3743856677861612,1.25
16,1663155754-779b64c8-406d-4ef5-b900-38713147c4af,nalfeshnee,2,2,12,0.16666666666666666,13.0,10000,22800,100,10000,3800.0,0,0.15275297619047618,1.25
17,1663155754-779b64c8-406d-4ef5-b900-38713147c4af,hobgoblin,3,3,12,0.25,0.5,100,22800,100,10000,3800.0,1,0.5634190108479407,4.923076923076923
18,1663155754-779b64c8-406d-4ef5-b900-38713147c4af,hell hound,1,1,12,0.08333333333333333,3.0,700,22800,100,10000,3800.0,0,0.3616190622719513,2.1458333333333335
19,1663155754-779b64c8-406d-4ef5-b900-38713147c4af,barbed devil,2,2,12,0.16666666666666666,5.0,1800,22800,100,10000,3800.0,0,0.4334375100091808,1.7575757575757576
20,1663155754-779b64c8-406d-4ef5-b900-38713147c4af,wraith,1,1,12,0.08333333333333333,5.0,1800,22800,100,10000,3800.0,0,0.34556969109322044,1.78
25,1659551172-34276b30-40c6-4188-ae58-8181d744cc8c,draconian mastermind,6,3,9,0.6666666666666666,6.0,2300,27500,2300,18000,9166.666666666666,1,0.3031739811912226,2.0
26,1659551172-34276b30-40c6-4188-ae58-8181d744cc8c,dracohydra,2,2,9,0.2222222222222222,11.0,7200,27500,2300,18000,9166.666666666666,0,0.4758689458689459,1.4666666666666666
