monster_name,cr
"""the demogorgon""",8.0
aarakocra,0.25
aarakocra simulacrum,0.125
aarakocra spelljammer,6.0
aartuk elder,3.0
aartuk starhorror,2.0
aartuk weedling,2.0
aberrant spirit,
aberrant zealot,8.0
aberrant zealot (tentacled),8.0
abhorrent overlord,9.0
abigor,22.0
abjurer,9.0
abjurer wizard,9.0
aboleth,10.0
aboleth spawn,5.0
abominable yeti,9.0
abyssal chicken,0.25
abyssal wretch,0.25
acererak,23.0
achaierai,5.0
acidic mist apparition,5.0
acolyte,0.25
adranach,12.0
adult amethyst dragon,16.0
adult amonkhet dragon,17.0
adult black dragon,14.0
adult blue dracolich,17.0
adult blue dragon,16.0
adult brass dragon,13.0
adult bronze dragon,15.0
adult copper dragon,14.0
adult crystal dragon,12.0
adult deep dragon,11.0
adult emerald dragon,14.0
adult gold dragon,17.0
adult green dragon,15.0
adult kruthik,2.0
adult lunar dragon,13.0
adult moonstone dragon,15.0
adult oblex,5.0
adult red dracolich,17.0
adult red dragon,17.0
adult sapphire dragon,15.0
adult silver dragon,16.0
adult solar dragon,14.0
adult time dragon,18.0
adult topaz dragon,13.0
adult white dragon,13.0
advanced detention drone,7.0
aegisaur,3.0
aeorian absorber,10.0
aeorian nullifier,12.0
aeorian reverser,8.0
aerisi kalinoth,7.0
aerosaur,10.0
aerosaur (large),2.0
aerosaur (small),0.25
aeshma,2.0
affliction devil (kocrachon),10.0
afsoun ghorbani,12.0
agathe silverspoon,0.5
agdon longscarf,2.0
agony,4.0
ahmaergo,9.0
air elemental,5.0
air elemental myrmidon,7.0
air totem elemental,5.0
akroan hoplite,3.0
al'chaia,8.0
alagarthas,3.0
alastrah,0.0
albino dwarf spirit warrior,1.0
albino dwarf warrior,0.25
aldani (lobsterfolk),1.0
alhoon,10.0
aljanor keenblade,3.0
alkilith,11.0
allip,5.0
allosaurus,2.0
allowak abominable yeti,9.0
allowak yeti,3.0
almiraj,0.0
aloysia telfan,2.0
alseid,1.0
altisaur,13.0
alyxian aboleth,12.0
alyxian the absolved,14.0
alyxian the callous,12.0
alyxian the dispossessed,13.0
alyxian the hunter,10.0
alyxian the tormented,11.0
amanisha manivarshi,1.0
amarith coppervein,3.0
amber golem,10.0
ambitious assassin,5.0
amble,10.0
ambush drake,0.5
amelia ghallen,3.0
amethyst dragon wyrmling,4.0
amethyst greatwyrm,26.0
ameyali,2.0
amidor the dandelion,0.5
ammalia cassalanter,5.0
ammit,5.0
amnizu,18.0
amonkhet dragon wyrmling,4.0
amonkhet hydra,8.0
amonkhet mummy,3.0
amonkhet mummy lord,15.0
amonkhet sphinx,17.0
amphisbaena,3.0
amrik vanthampur,3.0
anacreda,17.0
anagwendol,16.0
anarch,0.25
anastrasya karelova,5.0
anchorite of talos,3.0
ancient amethyst dragon,23.0
ancient amonkhet dragon,24.0
ancient black dragon,21.0
ancient blue dragon,23.0
ancient brass dragon,20.0
ancient bronze dragon,22.0
ancient copper dragon,21.0
ancient corpse walker,10.0
ancient crystal dragon,19.0
ancient deep crow,15.0
ancient deep dragon,18.0
ancient dragon turtle,24.0
ancient emerald dragon,21.0
ancient gold dragon,24.0
ancient green dragon,22.0
ancient lunar dragon,19.0
ancient moonstone dragon,21.0
ancient red dragon,24.0
